variant,sp_idx,SPCD,sp_code,default_sdimax,calibrated_sdimax,pct_change,abs_change
SN,48,652,MS,492,386.8325436783611,-21.37549925236563,-105.1674563216389
SN,49,653,MV,492,427.4676831360546,-13.116324565842566,-64.53231686394543
SN,50,654,ML,492,NA,NA,NA
SN,51,660,AP,422,NA,NA,NA
SN,52,680,MB,277,NA,NA,NA
SN,53,691,WT,726,646.8540706997699,-10.901643154301672,-79.14592930023014
SN,54,693,BG,430,358.4897413483163,-16.63029270969389,-71.51025865168373
SN,55,694,TS,704,512.4872955578996,-27.20350915370744,-191.51270444210036
SN,56,701,HH,304,267.2403157000206,-12.092001414466916,-36.759684299979426
SN,57,711,SD,164,395.7574277055621,141.31550469851348,231.75742770556212
SN,58,721,RA,492,298.60326857597596,-39.30827874472033,-193.39673142402404
SN,59,731,SY,499,325.0541324756956,-34.858891287435746,-173.9458675243044
SN,60,740,CW,648,343.0705098727853,-47.05702008136029,-304.9294901272147
SN,61,743,BT,520,NA,NA,NA
SN,62,762,BC,384,331.70295626012455,-13.61902180725923,-52.29704373987545
SN,63,802,WO,361,310.78778812134937,-13.909199966385216,-50.212211878650635
SN,64,806,SO,315,337.1525498198402,7.03255549836197,22.152549819840203
